Clima,Fonte,Gs,Nome,Sottotipo,Terreno,Tipo
"Caldi, Temperati",Bestiario 3,5,"Drago Imperiale, Cielo Cucciolo",Aria,Montagne,Drago
Qualsiasi,Bestiario 3,5,"Drago Imperiale, Sottosuolo Molto Giovane",Fuoco,Sotterranei,Drago
Temperati,Bestiario 1,5,"Drago Metallico, Bronzo Cucciolo",Acqua,Zone Costiere,Drago
Caldi,Bestiario 1,5,"Drago Metallico, Ottone Molto Giovane",Fuoco,Deserti,Drago
Qualsiasi,Bestiario 2,5,"Drago Primevo, Nuvole Cucciolo","Extraplanare, Aria",Cieli (Piano dell'Aria),Drago
Qualsiasi,Bestiario 2,5,"Drago Primevo, Salsedine Molto Giovane","Extraplanare, Acqua",Acquatici (Piano dell'Acqua),Drago
-,Bestiario 2,5,Elementale del Fango Grande,"Acqua, Elementale, Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
-,Bestiario 2,5,Elementale del Fulmine Grande,"Aria, Elementale, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
-,Bestiario 1,5,Elementale del Fuoco Grande,"Fuoco, Elementale, Extraplanare",Qualsiasi (Piano del Fuoco),Esterno
Qualsiasi,Bestiario 2,5,Elementale del Ghiaccio Grande,"Acqua, Aria, Elementale, Extraplanare","Specchi d'Acqua, Terreni (Piano dell'Acqua)",Esterno
-,Bestiario 2,5,Elementale del Magma Grande,"Fuoco, Elementale, Extraplanare",Qualsiasi (Piano del Fuoco),Esterno
-,Bestiario 1,5,Elementale dell'Acqua Grande,"Acqua, Elementale, Extraplanare",Qualsiasi (Piano dell'Acqua),Esterno
-,Bestiario 1,5,Elementale dell'Aria Grande,"Aria, Elementale, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
-,Bestiario 1,5,Elementale della Terra Grande,"Elementale, Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
Temperati,Bestiario 4,5,Fachen,,"Colline, Pianure",Aberrazione
Qualsiasi,Bestiario 4,5,Fantasma dei Congegni,,"Sotterranei, Urbani",Non Morto
Qualsiasi,Bestiario 1,5,Fauce Gorgogliante,,Sotterranei,Aberrazione
Caldi,Bestiario 3,5,Formicaleone Gigante,,Deserti,Parassita
-,Avventure Mitiche,5,Gargoyle Mitico,"Terra, Mitico",Qualsiasi,Umanoide Mostruoso
Temperati,Bestiario 1,5,Gelatina Ocra,,"Paludi, Sotterranei",Melma
-,Bestiario 1,5,"Genio, Djinni","Aria, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
Caldi,Bestiario 3,5,Ghul,Mutaforma,Deserti,Non Morto
Qualsiasi,Bestiario 3,5,Globster,Acquatico,"Oceani, Zone Costiere",Melma
Freddi,Bestiario 1,5,"Golem, Ghiaccio",Freddo,Qualsiasi,Costrutto
-,Bestiario 4,5,Graia,"Malvagio, Mitico",Qualsiasi,Umanoide Mostruoso
Temperati,Avventure Mitiche,5,Grifone Mitico,Mitico,Colline,Bestia Magica
Qualsiasi,Bestiario 3,5,Grodair,"Acquatico, Extraplanare","Acquatici, Zone Costiere",Bestia Magica
Qualsiasi,Bestiario 3,5,Guardiano Lapidario,,Terreni,Costrutto
Temperati,Bestiario 3,5,Gufo Gigante,,Foreste,Bestia Magica
Temperati,Bestiario 1,5,Idra a 6 Teste,,Paludi,Bestia Magica
Temperati,Bestiario 4,5,Idra Guardiano Divino,"Aria, Acqua",Rovine,Bestia Magica
-,Bestiario 1,5,Incubo,"Extraplanare, Malvagio",Qualsiasi (Abaddon),Esterno
Caldi,Bestiario 2,5,Ippopotamo,,Fiumi,Animale
"Caldi, Temperati",Bestiario 3,5,Kamadan Crepuscolare,,Pianure,Bestia Magica
Qualsiasi,Bestiario 3,5,"Kami, Kodama","Kami, Nativo",Foreste,Esterno
-,Avventure Mitiche,5,Kapoacinth Mitico,"Terra, Acquatico, Mitico",Qualsiasi,Umanoide Mostruoso
-,Bestiario 4,5,"Kyton, Ostiario","Extraplanare, Kyton, Legale, Malvagio",Qualsiasi (Piano delle Ombre),Esterno
Qualsiasi,Bestiario 4,5,Lampade,,Sotterranei,Folletto
Caldi,Bestiario 1,5,Leone Crudele,,"Colline, Pianure",Animale
"Temperati, Tropicali",Bestiario 2,5,Leucrotta,,"Colline, Foreste",Bestia Magica
Caldi,Bestiario 1,5,"Lucertola, Collare",,"Colline, Foreste, Pianure",Animale
Qualsiasi,Bestiario 2,5,Mano Strisciante Gigante,,"Sotterranei, Terreni",Non Morto
Caldi,Bestiario 1,5,Manticora,,"Colline, Pianure",Bestia Magica
Qualsiasi,Bestiario 1,5,Manto Assassino,,Sotterranei,Aberrazione
-,Bestiario 3,5,Mastino Ombra,"Extraplanare, Malvagio",Qualsiasi,Esterno
"Caldi, Temperati",Bestiario 3,5,"Megafauna, Archelone",,"Acquatici, Zone Costiere",Animale
"Caldi, Temperati",Bestiario 2,5,"Megafauna, Megaterio",,Foreste,Animale
Temperati,Bestiario 1,5,Megera Verde,,Paludi,Umanoide Mostruoso
Qualsiasi,Bestiario 2,5,Mercano,Extraplanare,"Sotterranei, Terreni",Esterno
-,Bestiario 1,5,Mummia,,Qualsiasi,Non Morto
Freddi,Bestiario 1,5,Orca,,Oceani,Animale
Temperati,Avventure Mitiche,5,Orsogufo Mitico,Mitico,Foreste,Bestia Magica
Freddi,Bestiario 1,5,Orso Polare,,Pianure,Animale
Qualsiasi,Bestiario 4,5,Oscuro Richiamatore,Oscuro,Sotterranei,Umanoide
-,Bestiario 3,5,Penanggalen,Umanoide Potenziato,Qualsiasi,Non Morto
Qualsiasi,Bestiario 4,5,Pellecucita,,Terreni,Costrutto
Qualsiasi,Bestiario 2,5,Predatore della Luce,Extraplanare,Terreni (Extraplanare),Folletto
-,Bestiario 4,5,"Psicopompo, Catrina","Extraplanare, Psicopompo",Qualsiasi (Purgatorio),Esterno
Caldi,Bestiario 1,5,Ragno Fase,,Colline,Bestia Magica
"Freddi, Temperati",Bestiario 3,5,Ragno Ogre,,"Colline, Sotterranei",Parassita
-,Bestiario 3,5,"Rakshasa, Dandasuka","Mutaforma, Nativo, Rakshasa",Qualsiasi,Esterno
-,Bestiario 2,5,Rast,"Extraplanare, Fuoco",Qualsiasi (Piano del Fuoco),Esterno
Qualsiasi,Bestiario 4,5,Re dei Ratti,,"Sotterranei, Urbani",Bestia Magica
Caldi,Bestiario 3,5,Sabosan,,"Foreste, Sotterranei",Umanoide Mostruoso
Caldi,Bestiario 4,5,Saguaroi,,Deserti,Vegetale
Tropicali,Bestiario 1,5,Sciame di Formiche Legionarie,Sciame,Qualsiasi,Parassita
Freddi,Bestiario 1,5,Scrag,"Acquatico, Gigante",Montagne,Umanoide
Freddi,Bestiario 4,5,Selkie,"Acquatico, Mutaforma",Oceani,Umanoide Mostruoso
Caldi,Bestiario 1,5,"Serpente, Anaconda",,"Acque Dolci, Foreste, Paludi",Animale
Caldi,Bestiario 3,5,"Sfinge, Ieracosfinge",,Colline,Bestia Magica
"Caldi, Temperati",Bestiario 2,5,Sirena,,Colline,Bestia Magica
Qualsiasi,Bestiario 2,5,Skaveling,,Sotterranei,Non Morto
Qualsiasi,Bestiario 3,5,Tojanida,"Acqua, Extraplanare",Acquatici (Piano dell'Acqua),Esterno
Freddi,Bestiario 1,5,Troll,Gigante,Montagne,Umanoide
Freddi,Avventure Mitiche,5,Troll dei Ghiacci Mitico,"Freddo, Gigante, Mitico","Montagne, Sotterranei",Umanoide
Qualsiasi,Bestiario 3,5,Vodyanoi,Acquatico,"Fiumi, Paludi",Umanoide Mostruoso
-,Bestiario 1,5,Wight Brutale,,Qualsiasi,Non Morto
Freddi,Bestiario 1,5,"Worg, Lupo Invernale",Freddo,"Foreste, Pianure",Bestia Magica
-,Bestiario 1,5,Wraith,Incorporeo,Qualsiasi,Non Morto
-,Bestiario 1,5,Xorn Giovane,"Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
-,Bestiario 4,5,Ypnale,Extraplanare,Qualsiasi (Piano Etereo),Esterno
"Temperati, Tropicali",Bestiario 2,5,Zanzara Goblin,,Paludi,Parassita
Qualsiasi,Bestiario 2,6,"Agathion, Vulpinal","Agathion, Buono, Extraplanare",Terreni (Nirvana),Esterno
Caldi,Bestiario 3,6,Ahuizotl,Acquatico,"Fiumi, Laghi, Paludi",Bestia Magica
Qualsiasi,Bestiario 2,6,Arcanathos,,Terreni,Umanoide Mostruoso
-,Bestiario 3,6,Arciere di Terracotta,,Qualsiasi,Costrutto
-,Bestiario 1,6,"Azata, Bralani","Azata, Buono, Caotico, Extraplanare, Mutaforma",Qualsiasi (Elysium),Esterno
-,Bestiario 2,6,Belker,"Aria, Elementale, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
Qualsiasi,Bestiario 3,6,Berbalang,,Terreni,Non Morto
Temperati,Bestiario 2,6,Berretto Rosso,,"Foreste, Montagne, Sotterranei",Folletto
-,Bestiario 3,6,Cerbero,"Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Freddi,Bestiario 1,6,Crioidra a 5 Teste,Freddo,"Paludi, Ghiacciai",Bestia Magica
Temperati,Bestiario 1,6,Cumulo Strisciante,,"Foreste, Paludi",Vegetale
-,Bestiario 2,6,"Daemon, Ceustodaemon","Daemon, Extraplanare, Malvagio",Qualsiasi (Abaddon),Esterno
-,Bestiario 1,6,"Demone, Babau","Caotico, Demone, Extraplanare, Malvagio",Qualsiasi (Abisso),Esterno
-,Bestiario 3,6,"Demone, Incubus","Caotico, Demone, Extraplanare, Malvagio",Qualsiasi (Abisso),Esterno
-,Bestiario 4,6,"Diavolo, Schiera","Diavolo, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
Caldi,Bestiario 1,6,"Dinosauro, Anchilosauro",,"Foreste, Pianure",Animale
Caldi,Bestiario 3,6,"Dinosauro, Iguanodonte",,"Foreste, Paludi",Animale
Caldi,Bestiario 1,6,"Dinosauro, Plesiosauro",,Acquatici,Animale
Qualsiasi,Bestiario 2,6,Draco di Mare,Acquatico,Zone Costiere,Drago
Freddi,Bestiario 1,6,"Drago Cromatico, Bianco Giovane",Freddo,Montagne,Drago
Caldi,Bestiario 1,6,"Drago Metallico, Rame Molto Giovane",Terra,Colline,Drago
Caldi,Bestiario 1,6,"Drago Cromatico, Rosso Cucciolo",Fuoco,Montagne,Drago
Temperati,Bestiario 1,6,"Drago Cromatico, Verde Molto Giovane",Aria,Foreste,Drago
Qualsiasi,Bestiario 4,6,"Drago Esterno, Vortice Cucciolo",Fuoco,Vuoto,Drago
Qualsiasi,Bestiario 3,6,"Drago Imperiale, Foresta Cucciolo",Terra,Foreste,Drago
Qualsiasi,Bestiario 3,6,"Drago Imperiale, Mare Molto Giovane",Acqua,Acquatici,Drago
Temperati,Bestiario 1,6,"Drago Metallico, Argento Cucciolo",Freddo,Montagne,Drago
Qualsiasi,Bestiario 2,6,"Drago Primevo, Cristallo Giovane","Extraplanare, Terra",Sotterranei (Piano della Terra),Drago
Qualsiasi,Bestiario 2,6,"Drago Primevo, Magma Molto Giovane","Extraplanare, Fuoco","Montagne, Sotterranei (Piano del Fuoco)",Drago
-,Bestiario 2,6,"Drago Primevo, Ombre Cucciolo",Extraplanare,Qualsiasi,Drago
Freddi,Bestiario 1,6,Ettin,Gigante,Colline,Umanoide
Temperati,Bestiario 4,6,Fanciulla Cigno,Mutaforma,"Laghi, Paludi",Folletto
Caldi,Bestiario 3,6,Formicaleone Gigante Adulto,,Deserti,Parassita
Qualsiasi,Bestiario 1,6,Fuoco Fatuo,Aria,Paludi,Aberrazione
Temperati,Bestiario 2,6,Gigante dei Boschi,Gigante,Foreste,Umanoide
Qualsiasi,Bestiario 4,6,Gigante dei Fiumi,Gigante,Fiumi,Umanoide
Qualsiasi,Bestiario 3,6,Gigante delle Caverne,Gigante,Sotterranei,Umanoide
Caldi,Bestiario 1,6,Girallon,,Foreste,Bestia Magica
-,Bestiario 1,6,"Golem, Legno",,Qualsiasi,Costrutto
-,Bestiario 4,6,"Golem, Sangue",,Qualsiasi,Costrutto
Temperati,Bestiario 3,6,Hodag,,"Foreste, Paludi",Bestia Magica
Temperati,Bestiario 1,6,Idra a 7 Teste,,Paludi,Bestia Magica
"Freddi, Temperati",Bestiario 3,6,Kamadan Polare,,Pianure,Bestia Magica
Qualsiasi,Bestiario 4,6,Karkinoi,Acquatico,Acquatici,Umanoide Mostruoso
-,Bestiario 1,6,"Kyton, Evangelista","Malvagio, Extraplanare, Kyton, Legale",Qualsiasi,Esterno
Temperati,Bestiario 1,6,Lamia,,Deserti,Umanoide Mostruoso
-,Bestiario 4,6,Locusta dell'Apocalisse,"Extraplanare, Malvagio, Mitico",Qualsiasi Piano di Allineamento Malvagio,Esterno
Temperati,Bestiario 2,6,Luccio Gigante,Acquatico,Acque Dolci,Animale
Qualsiasi,Bestiario 4,6,Lunarma,,Sotterranei,Aberrazione
"Caldi, Temperati",Bestiario 3,6,Maftet,,"Deserti, Montagne",Umanoide Mostruoso
Caldi,Bestiario 1,6,Manticora Avanzata,,"Colline, Pianure",Bestia Magica
Caldi,Avventure Mitiche,6,Manticora Mitica,Mitico,"Colline, Pianure",Bestia Magica
Qualsiasi,Bestiario 4,6,"Meccanico, Destriero",Meccanico,Terreno,Costrutto
-,Bestiario 3,6,"Meccanico, Soldato",Meccanico,Qualsiasi,Costrutto
Temperati,Bestiario 2,6,"Megafauna, Gliptodonte",,Pianure,Animale
Freddi,Bestiario 3,6,Megera Annis,,Paludi,Umanoide Mostruoso
Freddi,Bestiario 1,6,Melma dell'Id,,"Paludi, Sotterranei",Melma
Temperati,Bestiario 2,6,Merrow d'Acqua Salata,"Acquatico, Gigante","Fiumi, Laghi",Umanoide
-,Bestiario 4,6,Mi-go,,Qualsiasi,Vegetale
"Caldi, Temperati",Bestiario 1,6,Millepiedi Gigante dei Boschi,,"Foreste, Sotterranei",Parassita
Temperati,Bestiario 1,6,Minotauro Mezzo-Immondo,Nativo,"Rovine, Sotterranei",Esterno
Temperati,Avventure Mitiche,6,Minotauro Mitico,Mitico,"Sotterranei, Rovine",Umanoide Mostruoso
-,Bestiario 1,6,Muffa Rugginosa,,Sotterranei,Vegetale
Qualsiasi,Bestiario 3,6,Naga Lunare,,Terreni,Aberrazione
Temperati,Bestiario 3,6,Nebbia Affamata,,Qualsiasi,Melma
Qualsiasi,Bestiario 4,6,Owb,Extraplanare,"Sotterranei, Terreni (Piano delle Ombre)",Esterno
Qualsiasi,Bestiario 4,6,Pellecucita Potenziato,,Terreni,Costrutto
Qualsiasi,Bestiario 4,6,Pellecucita Resistente,,Terreni,Costrutto
Qualsiasi,Bestiario 1,6,Piroidra a 5 Teste,Fuoco,"Deserti, Vulcani",Bestia Magica
Freddi,Bestiario 1,6,Rinoceronte Lanoso,,Pianure,Animale
Qualsiasi,Bestiario 2,6,Ritornante,,Terreni,Non Morto
Freddi,Bestiario 2,6,Rospo dei Ghiacci,Freddo,"Colline, Ghiacciai",Bestia Magica
-,Bestiario 1,6,Salamandra,"Extraplanare, Fuoco",Qualsiasi (Piano del Fuoco),Esterno
Qualsiasi,Bestiario 2,6,Sciame di Meduse,"Acquatico, Sciame",Acquatici,Parassita
Freddi,Avventure Mitiche,6,Scrag Mitico,"Acquatico, Gigante, Mitico",Montagne,Umanoide
Qualsiasi,Bestiario 2,6,Seugathi,,Sotterranei,Aberrazione
Qualsiasi,Bestiario 4,6,Signore del Fango,"Acqua, Elementale, Terra","Sotterranei, Terreni (Piano delle Ombre)",Esterno
-,Bestiario 3,6,Soldato di Terracotta,,Qualsiasi,Costrutto
-,Bestiario 3,6,Tela Assassina,,Qualsiasi,Non Morto
"Caldi, Temperati",Bestiario 2,6,Tendriculos,,Foreste,Vegetale
Qualsiasi,Bestiario 2,6,Tentamort Superiore,,"Paludi, Sotterranei",Aberrazione
Qualsiasi,Bestiario 2,6,Troll delle Rocce,"Gigante, Terra",Sotterranei,Umanoide
Freddi,Avventure Mitiche,6,Troll Mitico,"Gigante, Mitico",Montagne,Umanoide
Qualsiasi,Bestiario 2,6,Uomo Falena,,Terreni,Umanoide Mostruoso
-,Bestiario 3,6,Vampiro Jiang-Shi,Umanoide Potenziato,Qualsiasi,Non Morto
Caldi,Bestiario 2,6,Verme Mortale,,"Colline, Deserti, Pianure",Bestia Magica
"Caldi, Temperati",Bestiario 1,6,Viverna,,Colline,Drago
Freddi,Avventure Mitiche,6,"Worg, Lupo Invernale Mitico","Freddo, Mitico","Foreste, Pianure",Bestia Magica
-,Bestiario 1,6,Xill,"Extraplanare, Malvagio",Qualsiasi (Piano Etereo),Esterno
-,Bestiario 1,6,Xorn,"Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
"Temperati, Tropicali",Bestiario 2,6,Zanzara Gigante,,Paludi,Parassita
Qualsiasi,Bestiario 1,7,Aboleth,Acquatico,Acquatici,Aberrazione
Temperati,Bestiario 2,7,Albero dell'Impiccato,,Foreste,Vegetale
-,Bestiario 3,7,Amniotico,Extraplanare,Qualsiasi,Esterno
-,Bestiario 3,7,"Arconte, Legionario","Arconte, Buono, Extraplanare, Legale",Qualsiasi (Paradiso),Esterno
-,Bestiario 3,7,"Asura, Adhukait","Asura, Extraplanare, Legale, Malvagio",Qualsiasi (Inferno),Esterno
-,Bestiario 1,7,"Azata, Lillend","Azata, Buono, Caotico, Extraplanare",Qualsiasi (Elysium),Esterno
-,Bestiario 1,7,Barghest Superiore,"Extraplanare, Legale, Malvagio, Mutaforma",Qualsiasi,Esterno
-,Bestiario 2,7,Bestia del Caos,"Caotico, Extraplanare",Qualsiasi,Esterno
Temperati,Bestiario 1,7,Bulette,,Colline,Bestia Magica
-,Bestiario 1,7,Cacciatore Invisibile,"Aria, Elementale, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
Qualsiasi,Bestiario 4,7,"Carnideforme, Halsora",,Sotterranei,Aberrazione
-,Bestiario 3,7,Cavaliere di Terracotta,,Qualsiasi,Costrutto
Freddi,Bestiario 2,7,Charda,Acquatico,"Acquatici, Sotterranei",Umanoide Mostruoso
Temperati,Bestiario 1,7,Chimera,,Colline,Bestia Magica
Temperati,Bestiario 1,7,Chuul,Acquatico,Paludi,Aberrazione
Freddi,Bestiario 1,7,Crioidra a 6 Teste,Freddo,"Ghiacciai, Paludi",Bestia Magica
-,Bestiario 2,7,"Daemon, Ceustodaemon Superiore","Daemon, Extraplanare, Malvagio",Qualsiasi (Abaddon),Esterno
-,Bestiario 1,7,"Demone, Ombra","Caotico, Demone, Extraplanare, Incorporeo, Malvagio",Qualsiasi (Abisso),Esterno
-,Bestiario 1,7,"Demone, Succube","Caotico, Demone, Extraplanare, Malvagio",Qualsiasi (Abisso),Esterno
"Caldi, Temperati",Bestiario 2,7,"Dinosauro, Allosauro",,"Foreste, Pianure",Animale
Caldi,Bestiario 1,7,"Dinosauro, Elasmosauro",,Acquatici,Animale
Caldi,Bestiario 1,7,"Dinosauro, Stegosauro",,Pianure,Animale
-,Bestiario 3,7,"Div, Pairaka","Div, Extraplanare, Malvagio, Mutaforma",Qualsiasi (Abaddon),Esterno
-,Bestiario 2,7,Divora Anime,"Extraplanare, Malvagio",Qualsiasi Piano Esterno (Abaddon),Esterno
Freddi,Bestiario 2,7,Draco di Ghiaccio,Freddo,Montagne,Drago
Qualsiasi,Bestiario 4,7,Draco di Guglia,,Colline,Drago
Temperati,Bestiario 1,7,Dracolisco,,"Paludi, Sotterranei",Drago
Freddi,Bestiario 1,7,"Drago Cromatico, Bianco Adolescente",Freddo,Montagne,Drago
Caldi,Bestiario 1,7,"Drago Cromatico, Blu Molto Giovane",Terra,Deserti,Drago
Caldi,Bestiario 1,7,"Drago Cromatico, Nero Giovane",Acqua,Paludi,Drago
Qualsiasi,Bestiario 4,7,"Drago Esterno, Lunare Molto Giovane",,Vuoto,Drago
Qualsiasi,Bestiario 4,7,"Drago Esterno, Solare Molto Giovane",Fuoco,Vuoto,Drago
Qualsiasi,Bestiario 4,7,"Drago Esterno, Tempo Cucciolo",,Vuoto,Drago
Qualsiasi,Bestiario 4,7,"Drago Esterno, Vuoto Molto Giovane",,Vuoto,Drago
"Caldi, Temperati",Bestiario 3,7,"Drago Imperiale, Cielo Molto Giovane",Aria,Montagne,Drago
Qualsiasi,Bestiario 3,7,"Drago Imperiale, Sottosuolo Giovane",Fuoco,Sotterranei,Drago
Qualsiasi,Bestiario 3,7,"Drago Imperiale, Sovrano Cucciolo",,Montagne,Drago
Temperati,Bestiario 1,7,"Drago Metallico, Bronzo Molto Giovane",Acqua,Zone Costiere,Drago
Caldi,Bestiario 1,7,"Drago Metallico, Oro Cucciolo",Fuoco,Pianure,Drago
Caldi,Bestiario 1,7,"Drago Metallico, Ottone Giovane",Fuoco,Deserti,Drago
Qualsiasi,Bestiario 2,7,"Drago Primevo, Cristallo Adolescente","Extraplanare, Terra",Sotterraneo (Piano della Terra),Drago
Qualsiasi,Bestiario 2,7,"Drago Primevo, Nuvole Molto Giovane","Extraplanare, Aria",Cieli (Piano dell'Aria),Drago
Qualsiasi,Bestiario 2,7,"Drago Primevo, Salsedine Giovane","Extraplanare, Acqua",Acquatici (Piano dell'Acqua),Drago
Temperati,Bestiario 3,7,Dragonne,,Deserti,Bestia Magica
Qualsiasi,Bestiario 1,7,Drider,,Sotterranei,Aberrazione
-,Bestiario 2,7,Dullahan,,Qualsiasi,Non Morto
Caldi,Bestiario 1,7,Elefante,,Pianure,Animale
-,Bestiario 2,7,Elementale del Fango Enorme,"Acqua, Elementale, Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
-,Bestiario 2,7,Elementale del Fulmine Enorme,"Aria, Elementale, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
-,Bestiario 1,7,Elementale del Fuoco Enorme,"Fuoco, Elementale, Extraplanare",Qualsiasi (Piano del Fuoco),Esterno
Qualsiasi,Bestiario 2,7,Elementale del Ghiaccio Enorme,"Acqua, Aria, Elementale, Extraplanare","Specchi d'Acqua, Terreni (Piano dell'Acqua)",Esterno
-,Bestiario 2,7,Elementale del Magma Enorme,"Fuoco, Elementale, Extraplanare",Qualsiasi (Piano del Fuoco),Esterno
-,Bestiario 1,7,Elementale dell'Acqua Enorme,"Acqua, Elementale, Extraplanare",Qualsiasi (Piano dell'Acqua),Esterno
-,Bestiario 1,7,Elementale dell'Aria Enorme,"Aria, Elementale, Extraplanare",Qualsiasi (Piano dell'Aria),Esterno
-,Bestiario 1,7,Elementale della Terra Enorme,"Elementale, Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
-,Bestiario 2,7,"Eone, Theletos","Eone, Extraplanare",Qualsiasi (Piani Esterni),Esterno
-,Bestiario 1,7,Fantasma,"Incorporeo, Umanoide Potenziato",Qualsiasi,Non Morto
"Caldi, Temperati",Bestiario 4,7,"Formian, Sorvegliante",,"Sotterranei, Terreni",Umanoide Mostruoso
Qualsiasi,Bestiario 4,7,Gaki,,Terreni,Non Morto
Qualsiasi,Bestiario 2,7,Gatto Infernale,"Extraplanare, Legale, Malvagio",Terreni (Inferno),Esterno
Caldi,Bestiario 1,7,"Genio, Janni Nobile (Sceicco)",Nativo,Deserti,Esterno
-,Bestiario 1,7,"Genio, Shaitan","Extraplanare, Terra",Qualsiasi (Piano della Terra),Esterno
Temperati,Bestiario 1,7,Gigante delle Colline,Gigante,Colline,Umanoide
Caldi,Bestiario 4,7,Gigante delle Scorie,Gigante,"Montagne, Sotterranei",Umanoide
-,Bestiario 1,7,"Golem, Carne",,Qualsiasi,Costrutto
Qualsiasi,Bestiario 3,7,Granchio Mangiasquali,Acquatico,Acquatici,Parassita
Temperati,Bestiario 1,7,Idra a 8 Teste,,Paludi,Bestia Magica
-,Bestiario 3,7,Kirin,Aria,Qualsiasi,Bestia Magica
Temperati,Avventure Mitiche,7,Lamia Mitica,"Mitico, Mutaforma",Deserti,Umanoide Mostruoso
Qualsiasi,Bestiario 3,7,Manananggal,,Terreni,Non Morto
Qualsiasi,Bestiario 4,7,Manichino Lega Anima,,Terreni,Costrutto
Qualsiasi,Bestiario 4,7,"Meccanico, Destriero da Battaglia",Meccanico,Terreno,Costrutto
Temperati,Bestiario 1,7,Medusa,,"Paludi, Sotterranei",Umanoide Mostruoso
Qualsiasi,Bestiario 2,7,Medusa Gigante,Acquatico,Oceani,Parassita
Temperati,Bestiario 2,7,"Megafauna, Arsinoiterio",,Pianure,Animale
Caldi,Bestiario 3,7,"Megafauna, Megalania",,"Foreste, Pianure",Animale
Freddi,Bestiario 4,7,Megera Invernale,Freddo,"Foreste, Pianure",Umanoide Mostruoso
Qualsiasi,Bestiario 3,7,Melma Cerebrale,,"Rovine, Sotterranei",Melma
Qualsiasi,Bestiario 2,7,Melma di Lava Cristallina,Fuoco,"Sotterranei, Vulcani",Melma
Qualsiasi,Bestiario 2,7,Melma di Lava,Fuoco,"Sotterranei, Vulcani",Melma
-,Avventure Mitiche,7,Mummia Mitica,Mitico,Qualsiasi,Non Morto
Temperati,Bestiario 3,7,Naga Acquatico,Acquatico,Acquatici,Aberrazione
Temperati,Bestiario 1,7,Ninfa,,Foreste,Folletto
Qualsiasi,Bestiario 4,7,Oceanide,Acqua,Oceani,Folletto
Freddi,Bestiario 1,7,Orso Crudele,,Foreste,Animale
Qualsiasi,Bestiario 1,7,Piroidra a 6 Teste,Fuoco,"Deserti, Vulcani",Bestia Magica
-,Bestiario 2,7,"Protean, Naunet","Caotico, Extraplanare, Mutaforma, Protean",Qualsiasi (Limbo),Esterno
Qualsiasi,Bestiario 1,7,Protoplasma Nero,,Sotterranei,Melma
-,Bestiario 4,7,"Psicopompo, Vanth","Extraplanare, Psicopompo",Qualsiasi (Purgatorio),Esterno
Temperati,Bestiario 3,7,Pukwudgie,Mutaforma,"Colline, Foreste, Montagne",Umanoide Mostruoso
Freddi,Bestiario 4,7,Qallupilluk,Acquatico,Oceani,Umanoide Mostruoso
-,Bestiario 2,7,"Qlippoth, Shoggti","Caotico, Extraplanare, Malvagio, Qlippoth",Qualsiasi (Abisso),Esterno
Qualsiasi,Bestiario 4,7,"Razza Predatrice, Appostato",,Sotterranei,Aberrazione
Freddi,Bestiario 1,7,Remorhaz,,"Deserti, Ghiacciai",Bestia Magica
-,Bestiario 2,7,Sceaduinar,Extraplanare,Qualsiasi (Piano dell'Energia Negativa),Esterno
-,Bestiario 3,7,Sciame di Larve Necrofaghe,Sciame,Qualsiasi,Parassita
-,Bestiario 2,7,Segugio di Tindalos,"Extraplanare, Malvagio",Qualsiasi,Esterno
Caldi,Bestiario 3,7,"Sfinge, Criosfinge",,"Colline, Deserti",Bestia Magica
-,Bestiario 1,7,Spettro,Incorporeo,Qualsiasi,Non Morto
Qualsiasi,Bestiario 2,7,Totenmaske,Mutaforma,"Terreni, Sotterranei",Non Morto
Qualsiasi,Avventure Mitiche,7,Troll delle Rocce Mitico,"Gigante, Terra, Mitico",Sotterranei,Umanoide
-,Bestiario 3,7,Tupilaq,,Qualsiasi,Costrutto
Qualsiasi,Bestiario 4,7,Yaoguai,,Terreni,Bestia Magica
Qualsiasi,Bestiario 4,7,Xenoperid,,"Sotterranei, Terreni",Parassita
-,Bestiario 2,8,Abitante di Leng,"Caotico, Extraplanare, Malvagio",Qualsiasi,Esterno
Qualsiasi,Bestiario 4,8,Ammasso di Frammenti,Fuoco,"Sotterranei, Vulcani",Melma
-,Bestiario 2,8,Assiomita,"Extraplanare, Legale",Qualsiasi (Piani Legali),Esterno
-,Bestiario 3,8,Baku,,Qualsiasi,Bestia Magica
-,Avventure Mitiche,8,Barghest Superiore Mitico,"Extraplanare, Legale, Malvagio, Mitico, Mutaforma",Qualsiasi,Esterno
Caldi,Bestiario 1,8,Behir,,"Colline, Deserti",Bestia Magica
